API/UWI,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Well/Lease Name,Well Number,Entity Type,County/Parish,DI Basin,DI Play,DI Subplay,Reservoir,Production Type,Producing Status,Drill Type,First Prod Date,Last Prod Date,Cum Gas,Cum Oil,Cum BOE,Cum Water,Cum MMCFGE,Cum BCFGE,Daily Gas,Daily Oil,First Month Oil,First Month Gas,First Month Water,First 6 Oil,First 6 Gas,First 6 BOE,First 6 Water,First 12 Oil,First 12 Gas,First 12 BOE,First 12 MMCFGE,First 12 Water,First 24 Oil,First 24 Gas,First 24 BOE,First 24 MMCFGE,First 24 Water,First 60 Oil,First 60 Gas,First 60 BOE,First 60 Water,First 60 MMCFGE,Prac IP Oil Daily,Prac IP Gas Daily,Prac IP CFGED,Prac IP BOE,Latest Oil,Latest Gas,Latest Water,Prior 12 Oil,Prior 12 Gas,Prior 12 Water,Last Test Date,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Well Count,Max Active Wells,Months Produced,Gas Gatherer,Oil Gatherer,Lease Number,Spud Date,Measured Depth (TD),True Vertical Depth,Gross Perforated Interval,Field,State,District,AAPG Geologic Province,Country,Section,Township,Range,Abstract,Block,Survey,OCS Area,PGC Area,Surface Latitude (WGS84),Surface Longitude (WGS84),Last 12 Oil,Last 12 Gas,Last 12 Water,Entity ID,Other No.,Operator Alias ID (Legacy)
43013337330000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,GB II FED,10-19-8-17,COM,DUCHESNE (UT),UINTA,UINTA,,GREEN RIVER,OIL,ACTIVE,V,2009-01-01,2020-07-01,580317.0000,174200.0000,270919.0000,34428.0000,1626.0000,2.0000,24,16,10321,4229.0000,1302,42081.0000,72825.0000,54218.0000,2462.0000,57698,171802,86332.0000,518.0000,3152,75003.0000,356041.0000,134343.0000,806.0000,4124.0000,97201.0000,472084.0000,175882.0000,6775.0000,1055.0000,347.0000,347.0000,2426714.0000,404.0000,438,0.0000,914,7657,8648,10347,,,,1000.00,1458.7930,3330.00,685.4980,997.9000,,24854.0000,16,10321.0000,1,11325.0000,2,68.0000,2,,,,32.740000,2009-01-07,1,1,136,,,UTU-76954,2008-11-17,6630.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,19,08S,17E,,,,,P-540,40.1015316,-110.0476055,4623.0000,6744.0000,8501.0000,124401035,0,100036953
43013335530000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,FEDERAL,1-25-9-16,COM,DUCHESNE (UT),UINTA,UINTA,,GREEN RIVER,OIL,SI,V,2009-01-01,2019-01-01,11828.0000,7905.0000,9876.0000,66546.0000,59.0000,0.0000,,,43,0.0000,1143,346.0000,588.0000,444.0000,15127.0000,1320,1780,1617.0000,10.0000,35525,2957.0000,3810.0000,3592.0000,22.0000,59577.0000,6574.0000,10508.0000,8325.0000,64160.0000,50.0000,4.0000,9.0000,35607.0000,6.0000,,2.0000,62,,,,,,,2040.00,106.4640,1500.00,9392.8570,490.1000,0.0000,638.0000,16,244.0000,28,299.0000,17,2.0000,17,,,,32.740000,2009-01-21,1,1,85,,,UTU-64380,2008-12-04,5700.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,25,09S,16E,,,,,P-540,40.0072952,-110.0609058,263.0000,28.0000,1031.0000,124401034,0,100036953
43013333530000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,FEDERAL,5-27-9-16,COM,DUCHESNE (UT),UINTA,UINTA,,GREEN RIVER,OIL,ACTIVE,V,2009-01-01,2020-07-01,91690.0000,49199.0000,64481.0000,19143.0000,387.0000,0.0000,32,9,803,255.0000,919,7515.0000,6000.0000,8515.0000,3454.0000,11967,13053,14142.0000,85.0000,4929,16557.0000,19847.0000,19865.0000,119.0000,6845.0000,27473.0000,38629.0000,33911.0000,11208.0000,203.0000,65.0000,25.0000,414630.0000,69.0000,77,0.0000,51,3575,15333,1144,,,,380.00,3708.0320,1860.00,269.6850,2614.0000,,1783.0000,10,1754.0000,2,1866.0000,2,11.0000,2,,,,32.740000,2009-01-13,1,1,137,,,UTU-74392,2008-12-09,5734.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,27,09S,16E,,,,,P-540,40.0035640,-110.1138067,2353.0000,8725.0000,771.0000,124401033,0,100036953
43013340390000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,GB II FED,R-34-8-17,COM,DUCHESNE (UT),UINTA,UINTA,,GREEN RIVER,OIL,ACTIVE,D,2009-02-01,2020-04-01,28008.0000,19267.0000,23935.0000,3784.0000,144.0000,0.0000,3,3,787,538.0000,400,2673.0000,3439.0000,3246.0000,578.0000,4365,6234,5404.0000,32.0000,648,7198.0000,10943.0000,9022.0000,54.0000,845.0000,12830.0000,20413.0000,16232.0000,2083.0000,97.0000,17.0000,21.0000,122484.0000,20.0000,57,42.0000,28,840,1482,210,,,,1230.00,956.7570,1450.00,1045.1980,811.4000,1357.1000,647.0000,2,787.0000,1,877.0000,1,5.0000,1,,,,32.740000,2009-02-04,1,1,135,,,UTU-79017,2009-01-01,6242.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,34,08S,17E,,,,,P-540,40.0690425,-109.9958045,1110.0000,1062.0000,281.0000,124401002,0,100036953
43013335540000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,FEDERAL,2-25-9-16,COM,DUCHESNE (UT),UINTA,UINTA,,GREEN RIVER,OIL,SI,V,2009-01-01,2015-08-01,28412.0000,16683.0000,21418.0000,5392.0000,129.0000,0.0000,,,556,378.0000,1035,4331.0000,4416.0000,5067.0000,2221.0000,7045,7414,8281.0000,50.0000,2816,10644.0000,11945.0000,12635.0000,76.0000,3495.0000,15466.0000,25557.0000,19725.0000,4888.0000,118.0000,36.0000,30.0000,247714.0000,41.0000,27,19.0000,10,791,2350,513,,,,820.00,1849.5210,1700.00,540.6800,1219.4000,1421.1000,1096.0000,6,1017.0000,2,1156.0000,2,7.0000,2,,,,32.740000,2009-01-12,1,1,80,,,UTU-64380,2008-11-05,5700.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,25,09S,16E,,,,,P-540,40.0067912,-110.0663059,731.0000,1352.0000,299.0000,124401001,0,100036953
43013333520000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,FEDERAL,3-27-9-16,COM,DUCHESNE (UT),UINTA,UINTA,,GREEN RIVER,OIL,INACTIVE,V,2009-01-01,2013-05-01,5707.0000,3519.0000,4470.0000,8133.0000,27.0000,0.0000,,,222,181.0000,937,1171.0000,1578.0000,1434.0000,3262.0000,1697,2110,2049.0000,12.0000,4441,2505.0000,3085.0000,3019.0000,18.0000,6435.0000,,,,,,13.0000,25.0000,100643.0000,17.0000,92,,,579,1605,904,,,,2030.00,1919.1920,1620.00,521.0530,493.0000,,712.0000,2,351.0000,2,470.0000,2,3.0000,2,,,,31.700000,2009-01-16,1,1,48,,,UTU-74392,2008-12-15,5735.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,27,09S,16E,,,,,P-540,40.0065810,-110.1090066,297.0000,570.0000,302.0000,124401000,0,100036953
43013340410000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,JONAH FED,Q-14-9-16,COM,DUCHESNE (UT),UINTA,UINTA,,GREEN RIVER,OIL,ACTIVE,D,2009-01-01,2020-07-01,79574.0000,44175.0000,57437.0000,10628.0000,345.0000,0.0000,64,16,294,0.0000,228,3213.0000,2049.0000,3554.0000,686.0000,5145,4388,5876.0000,35.0000,1085,8009.0000,13035.0000,10181.0000,61.0000,1339.0000,15062.0000,26848.0000,19537.0000,5693.0000,117.0000,30.0000,17.0000,195214.0000,33.0000,642,2816.0000,110,4744,14486,771,,,,560.00,3917.8290,1800.00,255.2430,1779.9000,228.0000,2816.0000,138,833.0000,2,1111.0000,139,7.0000,139,,,,32.740000,2009-01-26,1,1,137,,,UTU-096547,2008-12-06,6166.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,14,09S,16E,,,,,P-540,40.0247928,-110.0943064,4515.0000,17689.0000,794.0000,124400881,0,100036953
43013340380000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,GB II FED,S-34-8-17,COM,DUCHESNE (UT),UINTA,UINTA,,GREEN RIVER,OIL,ACTIVE,D,2009-02-01,2020-07-01,48818.0000,32927.0000,41063.0000,8069.0000,246.0000,0.0000,33,6,2144,1081.0000,819,5214.0000,4192.0000,5913.0000,1096.0000,7100,7157,8293.0000,50.0000,1283,9743.0000,12606.0000,11844.0000,71.0000,1567.0000,17355.0000,21777.0000,20985.0000,3659.0000,126.0000,33.0000,25.0000,223806.0000,37.0000,259,229.0000,111,2170,1480,609,,,,740.00,5149.8640,1480.00,194.1800,1346.9000,1131.0000,1508.0000,132,2144.0000,1,2324.0000,1,14.0000,1,,,,32.740000,2008-10-30,1,1,136,,,UTU-79017,2008-12-18,6261.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,34,08S,17E,,,,,P-540,40.0724115,-109.9910044,1835.0000,9450.0000,581.0000,124400880,0,100036953
43013340300000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,GB II FED,Q-34-8-17,COM,DUCHESNE (UT),UINTA,UINTA,,GREEN RIVER,OIL,ACTIVE,D,2009-02-01,2020-04-01,42474.0000,28579.0000,35658.0000,8673.0000,214.0000,0.0000,22,6,831,735.0000,1117,2998.0000,5349.0000,3890.0000,2102.0000,4643,7721,5930.0000,36.0000,2829,7178.0000,9770.0000,8806.0000,53.0000,3754.0000,13392.0000,14732.0000,15847.0000,5690.0000,95.0000,20.0000,23.0000,144903.0000,24.0000,116,635.0000,0,2269,5645,356,,,,1150.00,3312.6760,1490.00,301.8710,867.4000,182.7000,1189.0000,4,831.0000,1,954.0000,1,6.0000,1,,,,32.740000,2009-01-30,1,1,135,,,UTU-79017,2008-12-11,6285.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,34,08S,17E,,,,,P-540,40.0724414,-109.9951045,2130.0000,7056.0000,465.0000,124400879,0,100036953
43013340160000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,JONAH FED,B-15-9-16,COM,DUCHESNE (UT),UINTA,UINTA,,GREEN RIVER,OIL,SI,D,2009-01-01,2020-03-01,24234.0000,20340.0000,24379.0000,52476.0000,146.0000,0.0000,4,1,1845,853.0000,1515,5873.0000,3678.0000,6486.0000,3265.0000,8579,7636,9852.0000,59.0000,4722,12349.0000,14241.0000,14723.0000,88.0000,8019.0000,16276.0000,18823.0000,19413.0000,37643.0000,116.0000,39.0000,22.0000,257357.0000,43.0000,7,62.0000,17,562,855,624,,,,550.00,3196.2620,1190.00,312.8650,1815.2000,112.9000,853.0000,1,1845.0000,1,1987.0000,1,12.0000,1,,,,32.740000,2009-01-07,1,1,129,,,UTU-017985,2008-11-20,6180.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,10,09S,16E,,,,,P-540,40.0397235,-110.0992065,428.0000,1368.0000,774.0000,124400878,0,100036953
43013340140000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,JONAH FED,K-15-9-16,COM,DUCHESNE (UT),UINTA,UINTA,,GREEN RIVER,OIL,ACTIVE,D,2009-01-01,2020-04-01,8686.0000,11323.0000,12771.0000,8853.0000,77.0000,0.0000,,2,635,336.0000,785,1695.0000,1128.0000,1883.0000,1452.0000,3223,2336,3612.0000,22.0000,2254,5247.0000,4528.0000,6002.0000,36.0000,2915.0000,7078.0000,6913.0000,8230.0000,5582.0000,49.0000,0.0000,0.0000,0.0000,0.0000,19,,0,696,,725,,,,,,770.00,,,,364.0000,24,635.0000,1,691.0000,1,4.0000,1,,,,32.740000,2009-01-06,1,1,122,,,UTU-017985,2008-11-19,6120.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,15,09S,16E,,,,,P-540,40.0329216,-110.0997065,566.0000,,190.0000,124400877,0,100036953
43013339960000,NEWFIELD EXPLORATION COMPANY,OVINTIV INC.,NEWFIELD PRODUCTION COMPANY,OVV,FEDERAL,10-20-8-16,COM,DUCHESNE (UT),UINTA,UINTA,,GREEN RIVER,OIL,SI,V,2009-01-01,2018-05-01,122710.0000,12757.0000,33209.0000,25376.0000,199.0000,0.0000,,,721,1150.0000,2759,2814.0000,10301.0000,4531.0000,7342.0000,4270,20088,7618.0000,46.0000,9644,6141.0000,40171.0000,12836.0000,77.0000,12996.0000,9509.0000,90944.0000,24666.0000,20081.0000,148.0000,24.0000,97.0000,240857.0000,40.0000,37,434.0000,61,650,7634,996,,,,4050.00,9033.6390,9620.00,110.6970,246.9000,85.3000,2847.0000,28,721.0000,1,1124.0000,2,7.0000,2,,,,32.740000,2009-01-08,1,1,113,,,UTU-77339,2008-11-07,6460.00000,,,MONUMENT BUTTE,UT,,UINTA,USA,20,08S,16E,,,,,P-540,40.1007491,-110.1414073,654.0000,5908.0000,1008.0000,124400876,0,100036953
